Category,Title,Company,Location,Workplace,Employment Type,Salary Min,Salary Max,Currency,Salary Unit,Posted At,Fetched At,Sponsorship Signal,Sponsorship Note,E-Verify Status,Description Note,Apply Link
Software Engineer / Full Stack Developer,Software Engineer,Microsoft,United States,Remote,Full-time,,,USD,year,2026-07-23T12:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4436339189/
Software Engineer / Full Stack Developer,Senior Backend Engineer - Lodging and Cars,Hopper,"Dallas, TX",Remote,Full-time,,,USD,year,2026-07-23T05:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4435020582/
Software Engineer / Full Stack Developer,Full Stack Software Engineer,McKesson,"Texas, United States",Remote,Full-time,,,USD,year,2026-07-23T11:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4444472600/
Software Engineer / Full Stack Developer,Sr Engineer - Platform,The Wendy's Company,"Dublin, OH",Remote,Full-time,,,USD,year,2026-07-23T05:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4426024224/
Software Engineer / Full Stack Developer,Full Stack Engineer | Remote,Crossing Hurdles,United States,Remote,Full-time,180000,250000,USD,year,2026-07-23T07:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4435056181/
AI Engineer,AI Solutions Engineer,Affirm,"Raleigh, NC",Remote,Full-time,,,USD,year,2026-07-23T05:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4434697972/
AI Engineer,AI/ML Software Engineer,FTI Defense - Frontier Technology Inc.,"Chesapeake, VA",Remote,Full-time,,,USD,year,2026-07-23T04:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4427060680/
Data Engineer,Senior Data Engineer Con II,Allstate,United States,Remote,Full-time,,,USD,year,2026-07-23T16:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4444026527/
Data Engineer,Software Engineer - Python,ArteraAI,United States,Remote,Full-time,,,USD,year,2026-07-23T11:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4414765336/
Data Engineer,Data Engineer,CVS Health,"Austin, TX",Remote,Full-time,,,USD,year,2026-07-23T01:49:48,2026-07-23T21:49:48,unknown,Not stated - verify listing,Not automatable - verify at e-verify.gov,Full description not shown by LinkedIn for this listing (promoted/off-platform application) - open Apply to view full details.,https://www.linkedin.com/jobs/view/4443813187/
